idx,label,x,y,timestamp
0,rectangle,59,155,117350827
1,rectangle,58,153,117350839
2,rectangle,58,151,117350851
3,rectangle,58,154,117350909
4,rectangle,58,156,117350916
5,rectangle,58,160,117350925
6,rectangle,58,162,117350933
7,rectangle,57,165,117350939
8,rectangle,57,169,117350946
9,rectangle,58,172,117350952
10,rectangle,58,174,117350953
11,rectangle,58,177,117350961
12,rectangle,58,180,117350962
13,rectangle,59,186,117350969
14,rectangle,59,190,117350977
15,rectangle,60,193,117350978
16,rectangle,60,199,117350986
17,rectangle,61,206,117350994
18,rectangle,61,211,117351003
19,rectangle,62,216,117351012
20,rectangle,62,223,117351021
21,rectangle,62,228,117351031
22,rectangle,62,230,117351040
23,rectangle,62,236,117351050
24,rectangle,62,239,117351060
25,rectangle,62,242,117351070
26,rectangle,61,245,117351080
27,rectangle,62,247,117351117
28,rectangle,64,247,117351157
29,rectangle,66,246,117351173
30,rectangle,69,246,117351184
31,rectangle,71,244,117351195
32,rectangle,77,242,117351207
33,rectangle,82,242,117351218
34,rectangle,90,239,117351231
35,rectangle,97,240,117351243
36,rectangle,105,240,117351256
37,rectangle,118,240,117351269
38,rectangle,127,239,117351282
39,rectangle,136,240,117351296
40,rectangle,148,239,117351309
41,rectangle,156,241,117351323
42,rectangle,162,241,117351337
43,rectangle,164,242,117351338
44,rectangle,168,243,117351352
45,rectangle,174,245,117351366
46,rectangle,179,243,117351383
47,rectangle,184,242,117351398
48,rectangle,186,242,117351413
49,rectangle,188,242,117351428
50,rectangle,189,240,117351543
51,rectangle,187,237,117351558
52,rectangle,184,232,117351574
53,rectangle,182,225,117351590
54,rectangle,181,222,117351591
55,rectangle,179,213,117351608
56,rectangle,178,200,117351625
57,rectangle,177,189,117351642
58,rectangle,177,177,117351660
59,rectangle,177,172,117351676
60,rectangle,177,168,117351694
61,rectangle,177,166,117351712
62,rectangle,177,159,117351730
63,rectangle,177,156,117351748
64,rectangle,177,154,117351766
65,rectangle,175,153,117351790
66,rectangle,173,152,117351808
67,rectangle,168,153,117351827
68,rectangle,160,154,117351847
69,rectangle,148,154,117351867
70,rectangle,132,157,117351887
71,rectangle,112,159,117351910
72,rectangle,104,158,117351931
73,rectangle,97,156,117351951
74,rectangle,93,155,117351971
75,rectangle,89,154,117351992
76,rectangle,84,152,117352013
77,rectangle,82,151,117352033
78,rectangle,80,151,117352086
