idx,label,x,y,timestamp
0,check,70,171,831791
1,check,73,171,831836
2,check,75,171,831852
3,check,77,170,831863
4,check,79,169,831880
5,check,81,169,831896
6,check,83,169,831912
7,check,86,171,831932
8,check,88,172,831944
9,check,90,172,831961
10,check,93,174,831973
11,check,95,175,831985
12,check,97,176,831998
13,check,99,176,832010
14,check,101,179,832023
15,check,104,180,832036
16,check,105,183,832048
17,check,107,184,832060
18,check,109,187,832072
19,check,111,189,832084
20,check,112,193,832097
21,check,113,195,832106
22,check,114,198,832120
23,check,115,202,832132
24,check,116,205,832142
25,check,117,207,832152
26,check,118,210,832163
27,check,119,215,832173
28,check,120,217,832184
29,check,121,220,832196
30,check,122,223,832207
31,check,122,225,832219
32,check,124,227,832232
33,check,124,230,832244
34,check,125,228,832371
35,check,124,225,832424
36,check,124,223,832440
37,check,124,220,832453
38,check,123,218,832466
39,check,123,213,832479
40,check,123,209,832493
41,check,123,204,832507
42,check,123,198,832523
43,check,123,191,832537
44,check,123,185,832552
45,check,124,178,832567
46,check,124,172,832581
47,check,125,166,832597
48,check,126,157,832612
49,check,129,149,832628
50,check,130,146,832644
51,check,131,143,832645
52,check,134,136,832664
53,check,138,131,832680
54,check,144,124,832697
55,check,149,121,832713
56,check,153,117,832730
57,check,157,113,832748
58,check,159,112,832765
59,check,161,112,832782
60,check,161,114,832876
